TransactionID,id_15,id_23,id_30,id_31,id_33,DeviceType,DeviceInfo
3002120,New,,,chrome 62.0,,desktop,Windows
3002149,New,,,chrome 62.0,,desktop,Windows
3002179,New,,,chrome 62.0 for android,,mobile,XT1635-02 Build/NPN26.118-22-2
3002221,New,,Windows 10,chrome 62.0,1024x768,desktop,Windows
3002290,Unknown,,,mobile safari 11.0,,mobile,
3002393,Found,,,firefox 57.0,,desktop,Windows
3002451,Unknown,,,mobile safari 11.0,,mobile,
3002503,New,,,mobile safari generic,,mobile,
3002541,Unknown,,,mobile safari 11.0,,mobile,
3002562,Found,,,chrome 62.0,,desktop,Windows
3002601,New,,Android 5.1.1,chrome generic,960x540,mobile,KYOCERA-C6742A Build/LMY47V
3002634,New,,,chrome 62.0,,desktop,Windows
3002661,New,,,ie 11.0 for desktop,,desktop,Trident/7.0
3002670,Found,,Android 5.1.1,chrome generic,960x540,mobile,KYOCERA-C6742A Build/LMY47V
3002694,Unknown,,,mobile safari 11.0,,mobile,
3002696,New,,,chrome 62.0,,desktop,
3002732,New,,,firefox 57.0,,desktop,
3002775,New,,,chrome 62.0,,desktop,Windows
3002808,New,,,chrome 62.0,,desktop,Windows
3002825,New,,,mobile safari generic,,mobile,
3002829,New,,,chrome generic,,mobile,Moto E (4) Build/NMA26.42-19
3002898,New,,,other,,mobile,LG-H420 Build/LRX21Y
3002925,New,,,chrome 62.0 for android,,mobile,GT-I9060M Build/KTU84P
3002932,Found,,,chrome 62.0,,desktop,
3002948,,,,,,,
3002949,,,,,,,
3002957,New,,,firefox,,desktop,rv:38.0
3002965,Unknown,,,mobile safari 11.0,,mobile,
3002983,New,,iOS 10.3.3,mobile safari 10.0,1136x640,mobile,iOS Device
3003004,Found,,iOS 10.3.3,mobile safari 10.0,1136x640,mobile,iOS Device
3003026,New,,,chrome 61.0 for android,,mobile,SM-J700M Build/MMB29K
3003073,Found,,,chrome 62.0 for android,,mobile,SM-E500M Build/KTU84P
3003287,Found,,,chrome 62.0,,desktop,Windows
3003348,New,,,ie 11.0 for desktop,,desktop,Trident/7.0
3003358,Found,,,mobile safari 11.0,,mobile,
3003437,New,,,chrome 49.0,,desktop,
3003483,Found,,,ie 11.0 for desktop,,desktop,Trident/7.0
3003485,Found,,,chrome 62.0,,desktop,
3003509,Found,,,chrome 62.0,,desktop,
3003513,Found,,,chrome 62.0,,desktop,
3003521,New,,,chrome 62.0,,desktop,
3003535,Found,,,chrome 62.0,,desktop,
3000943,New,,,chrome,,desktop,
3003771,New,,,chrome 62.0,,desktop,Windows
3003779,New,,,chrome 62.0 for android,,mobile,Moto G Play Build/MPIS24.241-15.3-26
3003839,Found,,,chrome 62.0,,desktop,
3003932,New,,,chrome 62.0,,desktop,Windows
3001089,New,,iOS 10.2.0,mobile safari 10.0,1136x640,mobile,iOS Device
3004040,Found,,,edge 15.0,,desktop,Windows
3001098,New,,Mac OS X 10_11_6,chrome 62.0,2560x1600,desktop,MacOS
3001176,Found,IP_PROXY:HIDDEN,Windows 7,chrome 62.0,1280x1024,desktop,Windows
3001172,Found,IP_PROXY:HIDDEN,Windows 7,chrome 62.0,1280x1024,desktop,Windows
3004284,New,,,chrome 62.0,,desktop,Windows
3004294,Unknown,,,android webview 4.0,,mobile,es-us
3004458,New,,,chrome generic,,mobile,Moto E (4) Plus Build/NMA26.42-69
