TransactionID,TransactionAmt,ProductCD,card4,card6,addr1,addr2,P_emaildomain,R_emaildomain,customer_id,ts,channel,risk_score
3000008,14.38,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 00:06:21,online,0.02
3000016,28.67,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 00:11:07,online,0.82
3000020,17.92,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 00:14:10,online,0.07
3000041,7.05,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 00:32:34,online,0.09
3000053,117.01,W,visa,debit,330.0,87.0,hotmail.com,,C02354,2016-07-02 00:39:20,in_person,0.05
3000057,18.25,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 00:40:53,online,0.21
3000061,78.45,C,visa,credit,,,gmail.com,gmail.com,C13171,2016-07-02 00:42:31,online,0.03
3000078,23.36,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 00:54:56,online,0.15
3000079,38.8,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 00:54:57,online,0.23
3000093,17.17,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 01:01:12,online,0.31
3000110,19.97,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 01:11:03,in_person,0.19
3000113,23.37,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 01:14:03,online,0.23
3000114,51.96,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 01:14:07,online,0.05
3000123,8.13,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 01:18:00,online,0.63
3000127,75.31,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 01:20:30,online,0.11
3000164,15.68,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 01:49:56,online,0.1
3000172,19.17,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 01:59:13,online,0.57
3000190,32.36,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 02:19:56,online,0.68
3000197,15.31,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 02:27:13,online,0.01
3000204,7.31,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 02:33:09,online,0.1
3000217,28.41,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 02:42:30,online,0.28
3000232,8.09,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 02:53:29,online,0.09
3000242,14.46,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 03:04:11,online,0.13
3000260,58.99,W,visa,debit,325.0,87.0,hotmail.com,,C02354,2016-07-02 03:34:17,in_person,0.19
3000274,12.41,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 03:57:01,online,0.67
3000280,12.39,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 04:05:53,online,0.04
3000305,12.6,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 04:49:23,online,0.13
3000314,13.5,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 05:05:15,online,0.02
3000321,35.64,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 05:23:59,online,0.44
3000322,9.62,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 05:24:55,online,0.14
3000377,116.93,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 06:43:06,in_person,0.03
3000381,38.63,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 06:49:29,online,0.04
3000429,250.08,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 07:54:03,in_person,0.14
3000487,223.94,W,visa,debit,325.0,87.0,yahoo.com,,C02354,2016-07-02 10:39:45,in_person,0.03
3000513,50.04,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 12:00:04,in_person,0.33
3000519,15.72,C,visa,debit,,,outlook.com,outlook.com,C11923,2016-07-02 12:09:27,online,0.07
3000523,100.05,W,visa,debit,325.0,87.0,hotmail.com,,C02354,2016-07-02 12:16:12,in_person,0.03
3000529,19.91,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 12:26:56,in_person,0.07
3000601,44.05,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 13:30:46,in_person,0.04
3000607,442.92,W,visa,debit,204.0,87.0,gmail.com,,C05876,2016-07-02 13:34:01,in_person,0.91
3000623,87.93,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 13:41:07,in_person,0.06
3000659,170.96,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 14:05:01,in_person,0.16
3000664,75.04,W,visa,debit,204.0,87.0,gmail.com,,C02354,2016-07-02 14:09:29,in_person,0.11
3000667,109.01,W,visa,debit,126.0,87.0,gmail.com,,C02354,2016-07-02 14:10:52,in_person,0.2
3000670,77.04,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 14:12:33,in_person,0.01
3000704,312.02,W,visa,debit,325.0,87.0,icloud.com,,C02354,2016-07-02 14:31:06,in_person,0.04
3000706,116.92,W,visa,debit,325.0,87.0,hotmail.com,,C02354,2016-07-02 14:32:12,in_person,0.09
3000713,100.07,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 14:40:32,in_person,0.12
3000736,30.57,C,visa,debit,,,icloud.com,icloud.com,C11923,2016-07-02 14:52:04,online,0.04
3000742,110.04,W,visa,debit,330.0,87.0,aol.com,,C02354,2016-07-02 14:55:05,in_person,0.01
3000751,99.92,W,mastercard,debit,264.0,87.0,yahoo.com,,C07671,2016-07-02 14:58:42,in_person,0.22
3000760,37.97,W,visa,debit,184.0,87.0,gmail.com,,C05876,2016-07-02 15:01:52,in_person,0.13
3000770,116.93,W,mastercard,debit,264.0,87.0,yahoo.com,,C07671,2016-07-02 15:07:35,in_person,0.04
3000798,100.0,W,mastercard,debit,264.0,87.0,yahoo.com,,C07671,2016-07-02 15:19:51,in_person,0.07
3000805,67.17,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 15:23:06,online,0.04
3000814,117.09,W,visa,debit,325.0,87.0,anonymous.com,,C02354,2016-07-02 15:26:31,in_person,0.37
3000815,104.13,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 15:27:22,online,0.07
3000855,160.06,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 15:47:57,in_person,0.28
3000902,108.47,W,visa,credit,330.0,87.0,gmail.com,,C02923,2016-07-02 16:06:18,in_person,0.1
3000932,87.0,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 16:22:01,online,0.1
3000943,19.95,H,visa,debit,126.0,87.0,hotmail.com,hotmail.com,C02354,2016-07-02 16:26:15,online,0.76
3000945,85.14,C,visa,debit,,,outlook.com,outlook.com,C11923,2016-07-02 16:26:47,online,0.07
3000948,312.0,W,mastercard,debit,264.0,87.0,,,C07671,2016-07-02 16:27:28,in_person,0.02
3000960,15.64,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 16:30:58,online,0.58
3000962,107.89,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 16:32:39,in_person,0.12
3001000,432.91,W,visa,debit,325.0,87.0,hotmail.com,,C02354,2016-07-02 16:50:59,in_person,0.08
3001027,34.29,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 17:01:29,online,0.07
3001053,29.46,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 17:10:49,in_person,0.12
3001089,14.91,H,visa,debit,325.0,87.0,yahoo.com,yahoo.com,C02354,2016-07-02 17:27:32,online,0.22
3001098,39.96,H,visa,debit,126.0,87.0,verizon.net,,C02354,2016-07-02 17:31:07,online,0.45
3001102,18.46,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 17:33:10,online,0.29
3001111,117.03,W,visa,debit,325.0,87.0,aol.com,,C02354,2016-07-02 17:39:40,in_person,0.23
3001172,25.06,H,visa,debit,325.0,87.0,yahoo.com,gmail.com,C02354,2016-07-02 17:59:52,online,0.09
3001176,24.92,H,visa,debit,325.0,87.0,yahoo.com,gmail.com,C02354,2016-07-02 18:01:15,online,0.29
3001211,107.02,W,visa,debit,272.0,87.0,gmail.com,,C05876,2016-07-02 18:16:26,in_person,0.24
3001232,108.02,W,visa,debit,,,,,C02354,2016-07-02 18:21:50,in_person,0.03
3001265,99.96,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 18:35:19,in_person,0.02
3001283,10.12,C,visa,debit,,,anonymous.com,anonymous.com,C11923,2016-07-02 18:42:07,online,0.06
3001294,340.0,W,mastercard,debit,264.0,87.0,gmail.com,,C07671,2016-07-02 18:46:01,in_person,0.2
3001307,17.16,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 18:50:53,online,0.11
3001309,59.99,W,visa,debit,325.0,87.0,anonymous.com,,C02354,2016-07-02 18:51:31,in_person,0.05
3001318,29.93,W,visa,debit,325.0,87.0,ymail.com,,C02354,2016-07-02 18:56:30,in_person,0.29
3001332,156.08,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 19:01:33,in_person,0.04
3001344,15.09,W,visa,debit,126.0,87.0,gmail.com,,C02354,2016-07-02 19:05:05,in_person,0.01
3001346,30.01,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 19:06:25,in_person,0.12
3001360,39.92,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 19:13:11,in_person,0.1
3001386,33.11,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 19:21:11,online,0.28
3001393,14.98,H,visa,debit,325.0,87.0,gmail.com,anonymous.com,C02354,2016-07-02 19:24:14,online,0.13
3001433,80.47,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 19:35:55,online,0.05
3001457,49.97,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 19:47:49,in_person,0.23
3001460,75.02,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 19:48:07,in_person,0.03
3001502,31.41,C,visa,debit,,,anonymous.com,anonymous.com,C11923,2016-07-02 20:07:48,online,0.01
3001522,29.32,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 20:17:14,online,0.1
3001528,14.54,C,visa,debit,,,yahoo.com,yahoo.com,C11923,2016-07-02 20:20:38,online,0.35
3001546,32.24,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 20:31:32,online,0.21
3001567,257.88,W,visa,debit,204.0,87.0,gmail.com,,C05876,2016-07-02 20:37:52,in_person,0.01
3001651,48.87,C,visa,debit,,,live.com,live.com,C11923,2016-07-02 21:08:48,online,0.35
3001662,49.95,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-02 21:12:34,in_person,0.01
3001667,63.84,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 21:13:27,online,0.2
3001672,82.82,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 21:16:21,online,0.07
3001689,17.84,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 21:22:23,online,0.27
3001693,29.01,W,mastercard,debit,264.0,87.0,yahoo.com,,C07671,2016-07-02 21:23:56,in_person,0.02
3001712,46.36,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 21:29:45,online,0.01
3001718,99.92,H,mastercard,credit,330.0,87.0,gmail.com,gmail.com,C03042,2016-07-02 21:33:32,online,0.39
3001738,31.3,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 21:41:31,online,0.22
3001764,199.99,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 21:55:39,in_person,0.11
3001775,58.95,W,visa,debit,325.0,87.0,anonymous.com,,C02354,2016-07-02 22:02:26,in_person,0.12
3001790,48.14,C,visa,credit,,,yahoo.com.mx,yahoo.com.mx,C13171,2016-07-02 22:10:03,online,0.05
3001793,87.05,W,mastercard,debit,264.0,87.0,gmail.com,,C07671,2016-07-02 22:10:40,in_person,0.03
3001820,20.36,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 22:23:36,online,0.07
3001823,74.93,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-02 22:24:01,online,0.14
3001879,14.24,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-02 22:48:13,online,0.36
3001887,199.95,R,visa,debit,325.0,87.0,anonymous.com,gmail.com,C02354,2016-07-02 22:50:31,online,0.19
3001924,58.95,W,visa,debit,231.0,87.0,,,C02354,2016-07-02 23:03:46,in_person,0.03
3001935,57.95,W,mastercard,debit,110.0,87.0,yahoo.com,,C07671,2016-07-02 23:10:13,in_person,0.16
3001973,18.05,C,visa,debit,,,live.com.mx,live.com.mx,C11923,2016-07-02 23:21:42,online,0.08
3002057,102.94,W,visa,debit,325.0,87.0,,,C02354,2016-07-02 23:54:24,in_person,0.07
3002076,422.51,W,visa,debit,325.0,87.0,mail.com,,C02354,2016-07-03 00:02:09,in_person,0.02
3002087,32.91,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-03 00:05:16,online,0.71
3002120,42.22,C,visa,debit,,,outlook.com,outlook.com,C11923,2016-07-03 00:15:17,online,0.27
3002124,130.98,W,mastercard,debit,264.0,87.0,yahoo.com,,C07671,2016-07-03 00:15:49,in_person,0.05
3002140,2.53,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-03 00:21:28,online,0.11
3002149,27.77,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-03 00:22:55,online,0.55
3002162,42.6,C,visa,debit,,,anonymous.com,anonymous.com,C11923,2016-07-03 00:25:35,online,0.19
3002165,29.91,W,visa,debit,325.0,87.0,,,C02354,2016-07-03 00:26:08,in_person,0.06
3002167,77.85,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-03 00:27:26,online,0.09
3002173,58.91,W,visa,debit,325.0,87.0,gmail.com,,C02354,2016-07-03 00:28:54,in_person,0.23
3002179,5.05,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-03 00:30:29,online,0.1
3002181,59.92,W,visa,debit,325.0,87.0,,,C02354,2016-07-03 00:31:04,in_person,0.05
3002188,11.82,C,visa,debit,,,anonymous.com,anonymous.com,C11923,2016-07-03 00:33:24,online,0.22
3002197,11.71,C,visa,debit,,,anonymous.com,anonymous.com,C11923,2016-07-03 00:34:31,online,0.01
3002221,49.96,R,visa,credit,126.0,87.0,comcast.net,comcast.net,C07987,2016-07-03 00:38:45,online,0.5
3002225,23.74,C,visa,debit,,,anonymous.com,anonymous.com,C11923,2016-07-03 00:39:37,online,0.17
3002228,23.78,C,visa,debit,,,anonymous.com,anonymous.com,C11923,2016-07-03 00:40:18,online,0.47
3002231,113.08,W,visa,debit,325.0,87.0,yahoo.com,,C02354,2016-07-03 00:40:59,in_person,0.08
3002234,24.95,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-03 00:41:43,online,0.01
3002248,99.01,W,visa,debit,325.0,87.0,yahoo.com,,C02354,2016-07-03 00:44:38,in_person,0.11
3002290,19.38,C,visa,debit,,,live.com.mx,live.com.mx,C11923,2016-07-03 00:54:25,online,0.16
3002295,28.46,C,visa,debit,,,hotmail.com,hotmail.com,C11923,2016-07-03 00:55:44,online,0.04
3002300,74.97,W,visa,debit,264.0,87.0,yahoo.com,,C09933,2016-07-03 00:57:14,in_person,0.24
3002337,23.92,W,mastercard,debit,264.0,87.0,gmail.com,,C07671,2016-07-03 01:07:44,in_person,0.06
3002393,19.59,C,visa,debit,,,gmail.com,gmail.com,C11923,2016-07-03 01:23:42,online,0.11
